"","CBO.Ocupação.2002","Vínculo.Ativo.31.12","Escolaridade.após.2005","Qtd.Hora.Contr","Idade","Vl.Remun.Média.Nom","Sexo.Trabalhador","Tempo.Emprego"
"1659286",212420,1,7,40,37,3719.78,1,135.8
"1661830",212415,1,7,44,43,2873.38,1,164.7
"1661831",212415,1,7,39,42,2644.57,1,145.7
"1662905",212420,1,7,40,28,1408.39,1,21.6
"1662996",212420,1,7,44,23,1987.32,1,28.9
"1663042",212420,1,7,40,27,2672.28,1,20.5
"1663572",212420,1,7,40,21,2216.54,1,3.8
"1663573",212420,1,7,40,27,3380.65,1,24.9
"1663574",212420,1,7,40,29,2165.65,1,7.7
"1663976",212420,1,7,36,38,2654.06,1,75.7
"1664457",212410,1,7,40,29,2094.31,1,29.2
"1664950",212420,1,7,40,31,3433.32,1,91.8
"1665707",212420,1,7,44,39,4430.8,1,105.9
"1665854",212420,1,7,44,20,2327,1,13.1
"1666005",212420,1,7,44,33,4048.35,1,101.9
"1667092",212420,1,7,44,29,2224.5,1,25.8
"1667321",212420,1,7,44,22,1930.98,1,43.3
"1667327",212420,1,7,44,25,3205.17,1,41.7
"1667583",212420,1,7,44,30,1956.72,1,6.8
"1667591",212420,1,7,44,24,1818.35,1,6.8
"1668984",212420,1,7,44,22,1872.36,1,28.1
"1668991",212420,1,7,44,26,2016.31,1,38.5
"1670887",212420,1,7,44,32,1567.43,1,19.8
"1671513",212415,1,7,40,51,7972.81,1,236.9
"1671876",212420,1,7,44,43,2076.13,1,80.4
"1673894",212420,1,7,44,30,2017.29,1,66.5
"1673901",212420,1,7,42,32,3788.54,1,141.4
"1673908",212420,1,7,42,33,2471.32,1,18.4
"1674262",212420,1,7,42,23,1977.41,1,33.6
"1674271",212420,1,7,42,26,2621.21,1,53.9
"1676184",212420,1,7,42,31,3886.97,1,51.2
"1676185",212420,1,7,44,27,1612.4,1,61.2
"1676244",212420,1,7,44,31,3993.24,1,47.9
"1678143",212410,1,7,44,20,2244.04,1,36.6
"1678144",212410,1,7,36,23,2162.59,1,7.8
"1678947",212410,1,7,44,36,2743.4,1,8.9
"1680697",212420,1,7,44,42,3231.78,1,305.9
"1681248",212420,1,7,44,28,2485.35,1,130.9
"1682174",212420,1,7,44,50,2388.47,1,67.9
"1682177",212420,1,7,44,20,1196.54,1,4.9
"1682179",212420,1,7,44,24,1352.97,1,8.9
"1683501",212410,1,7,42,29,1930.85,1,27.7
"1683886",212420,1,7,44,26,2300.05,1,27.3
"1684172",212420,1,7,44,22,2336.4,1,51.9
"1684532",212420,1,7,36,24,2090.41,1,42.9
"1684535",212420,1,7,36,28,2151.35,1,49.9
"1684887",212420,1,7,44,23,1416.11,1,15.9
"1684961",212410,1,7,42,23,1912.48,1,27.7
"1687013",212420,1,7,42,38,3197.14,1,5.9
"1687529",212420,1,7,44,20,1192.32,1,7.7
"1687588",212410,1,7,44,33,3591.53,1,77.9
"1688271",212420,1,7,44,21,1509.06,1,20.8
"1688865",212415,1,7,44,34,2528.37,1,8.8
"1690143",212420,1,7,40,38,2194.4,1,32.5
"1690355",212415,1,7,44,43,3458.88,1,10.5
"1691447",212415,1,7,44,26,3648.91,1,11.4
"1691520",212420,1,7,44,22,2509.11,1,47.5
"1692814",212420,1,7,44,27,2520.8,1,22.7
"1695512",212420,1,7,44,45,2664.17,1,20.2
"1695513",212420,1,7,44,28,3284.77,1,55.7
"1695546",212420,1,7,40,21,1380.67,1,23.5
"1695551",212420,1,7,40,25,1335.98,1,5.9
"1695553",212420,1,7,40,20,1368.06,1,23.1
"1696471",212420,1,7,44,51,2974.44,1,15.9
"1696472",212420,1,7,44,33,3746.99,1,36.4
"1696473",212420,1,7,44,29,4472.35,1,52.8
"1697384",212420,1,7,44,24,3238.44,1,36.9
"1697473",212420,1,7,44,40,1575.96,1,12.3
"1697877",212420,1,7,44,34,4941.2,1,29.9
"1697887",212420,1,7,44,25,2235.51,1,32.2
"1697927",212410,1,7,40,27,2787.18,1,69.6
"1698956",212420,1,7,44,28,2347.78,1,47.9
"1702089",212420,1,7,44,21,1399.18,1,19.7
"1705267",212420,1,7,44,27,2027.42,1,9.3
"1705753",212420,1,7,44,30,3404.37,1,22.4
"1706188",212420,1,7,44,23,1950.44,1,7.5
"1709928",212420,1,7,44,38,3026.83,1,33.4
"1709929",212420,1,7,44,25,1810.2,1,24.9
"1710469",212420,1,7,44,32,2863.83,1,40.8
"1711273",212420,1,7,44,35,2161.69,1,26.1
"1711993",212420,1,7,44,38,7327.16,1,78.5
"1712113",212420,1,7,44,46,1632.2,1,12.5
"1712118",212420,1,7,44,21,1235.6,1,15.9
"1712422",212420,1,7,44,27,1168.6,1,13.2
"1713051",212420,1,7,44,26,1172.24,1,54.4
"1713052",212420,1,7,44,21,1194.1,1,15.5
"1713053",212420,1,7,44,24,1216.91,1,65.9
"1713838",212415,1,7,44,48,1415.16,1,44.9
"1713842",212415,1,7,44,28,1679.51,1,25.6
"1713844",212420,1,7,44,19,1314.79,1,14.3
"1714311",212420,1,7,44,26,3674,1,73.9
"1714312",212420,1,7,44,22,1533.33,1,57.3
"1714314",212420,1,7,44,19,950,1,2.9
"1714493",212420,1,7,44,24,2361.96,1,15.7
"1715117",212420,1,7,44,37,3792.74,1,213.9
"1715751",212420,1,7,44,21,1340.8,1,26.9
"1715755",212420,1,7,44,30,2219.48,1,19.8
"1715974",212420,1,7,44,21,1688.53,1,31.2
"1716651",212410,1,7,44,29,2346.67,1,64.9
"1717424",212420,1,7,40,35,7226.42,1,155.1
"1717736",212420,1,7,40,34,2869.17,1,36.9
"1717799",212420,1,7,44,37,2781.93,1,122.9
"1718354",212420,1,7,44,31,1765.6,1,73.8
"1719392",212420,1,7,44,27,2685.67,1,72.3
"1720010",212420,1,7,44,30,1670.38,1,3.8
"1725185",212420,1,7,44,21,2438.08,1,29.5
"1725504",212420,1,7,44,34,2646.46,1,21.3
"1725604",212420,1,7,40,24,2328.85,1,57.5
"1728535",212415,1,7,44,35,3054.49,1,20.9
"1730089",212420,1,7,44,23,2744.38,1,6.3
"1732285",212420,1,7,44,38,3556.6,1,85.9
"1733090",212420,1,7,44,38,3141.98,1,73.9
"1733784",212420,1,7,44,43,2045.45,1,49.1
"1735782",212410,1,7,40,33,3176.38,1,42.9
"1735786",212420,1,7,42,24,2317.8,1,36.4
"1735787",212420,1,7,44,21,1247,1,0.9
"1735982",212415,1,7,44,39,11270.89,1,104.7
"1736365",212420,1,7,44,26,1743.81,1,17.1
"1736366",212420,1,7,43,22,2319.4,1,32.5
"1736367",212420,1,7,43,27,2142.01,1,29.5
"1736368",212420,1,7,44,19,1525.98,1,15.7
"1736369",212420,1,7,44,19,1042,1,0.9
"1737255",212415,1,7,44,36,2539.57,1,11.7
"1737428",212420,1,7,44,18,1451.85,1,2.9
"1740098",212420,1,7,44,21,2155.06,1,46.8
"1740637",212420,1,7,20,38,769.6,1,26.9
"1741598",212410,1,7,44,38,4848.41,1,91.8
"1742181",212420,1,7,44,45,3751,1,11.8
"1743101",212420,1,7,44,48,2392.32,1,43.9
"1743236",212420,1,7,44,46,2705.13,1,110.9
"1743798",212420,1,7,44,31,3790.46,1,62.4
"1743799",212420,1,7,44,28,1229.7,1,14.9
"1744227",212410,1,7,44,38,3178.33,1,76.9
"1744324",212420,1,7,44,41,1813.68,1,10.2
"1745152",212420,1,7,44,19,1166.73,1,22.4
"1745154",212420,1,7,44,20,1727.55,1,51.9
"1746437",212420,1,7,44,30,1972.87,1,48.6
"1746439",212420,1,7,44,23,1858.62,1,40.9
"1746440",212410,1,7,44,24,2663.83,1,41.9
"1746505",212420,1,7,44,27,4068.95,1,46.8
"1747038",212410,1,7,44,17,1243.77,1,8.5
"1748767",212420,1,7,44,34,3994.3,1,37.6
"1749188",212420,1,7,44,28,2713.28,1,42.4
"1750321",212420,1,7,44,28,2284.92,1,34.3
"1751242",212415,1,7,44,23,3218.46,1,66.7
"1753789",212420,1,7,44,20,1568.38,1,23.9
"1754292",212420,1,7,44,23,2862.78,1,19.8
"1754386",212420,1,7,42,34,4899.56,1,138.9
"1754388",212420,1,7,42,27,4509.41,1,63.9
"1754641",212420,1,7,44,45,2719.15,1,126.5
"1754727",212420,1,7,20,30,557.53,1,41.9
"1754780",212420,1,7,42,43,4844.84,1,111.9
"1756472",212420,1,7,43,34,4047.62,1,2.9
"1756553",212420,1,7,42,27,4931.29,1,92.9
"1757329",212420,1,7,44,38,4317.03,1,122.9
"1759790",212420,1,7,44,39,4566,1,163.5
"1762256",212420,1,7,44,26,3793.09,1,95.8
"1764004",212420,1,7,44,26,8307,1,21.2
"1765382",212415,1,7,44,31,2813.79,1,45.8
"1765672",212420,1,7,44,47,3492.27,1,116
"1765753",212420,1,7,44,28,3204.23,1,57.1
"1766012",212410,1,7,44,19,1587.79,1,36.6
"1766015",212410,1,7,44,19,1592.7,1,23.3
"1767662",212420,1,7,44,34,2279.97,1,67.9
"1767729",212420,1,7,44,20,1213.92,1,12.9
"1768103",212420,1,7,44,34,3300.55,1,18.6
"1768645",212420,1,7,44,30,2710.89,1,33.6
"1769517",212420,1,7,44,28,2248.52,1,39.9
"1769518",212420,1,7,44,19,2031.43,1,13.1
"1769843",212420,1,7,44,22,2546.6,1,57.5
"1771495",212420,1,7,44,24,2095.17,1,51.6
"1771785",212420,1,7,44,23,2504.07,1,18.4
"1773770",212420,1,7,44,33,5283.95,1,111.9
"1773995",212420,1,7,44,24,3003.61,1,25.4
"1774816",212420,1,7,44,28,1973.48,1,47.8
"1775603",212420,1,7,44,36,4279.61,1,63.9
"1777028",212420,1,7,40,28,2179.09,1,5.3
"1777654",212420,1,7,44,41,6169.22,1,118.9
"1777655",212420,1,7,44,37,7773.09,1,61.4
"1778132",212420,1,7,44,30,3663.13,1,24.9
"1779039",212420,1,7,44,32,2070.13,1,8.8
"1779241",212420,1,7,44,21,2306.09,1,30.4
"1779881",212420,1,7,40,26,1693.53,1,16.9
"1779882",212420,1,7,40,29,2733.56,1,25.9
"1780694",212420,1,7,40,24,2487.83,1,26.5
"1780756",212420,1,7,44,37,1324,1,13.2
"1780757",212420,1,7,44,36,1324,1,16.6
"1783826",212420,1,7,44,35,2461.22,1,42.6
"1784239",212420,1,7,44,27,2437.33,1,52.9
"1784514",212420,1,7,44,27,3531.53,1,23.9
"1785393",212420,1,7,44,31,2332.9,1,20.5
"1785816",212420,1,7,44,24,1354.61,1,3.3
"1786361",212420,1,7,44,26,4474.16,1,58.7
"1787758",212420,1,7,44,34,1779.12,1,10.9
"1788691",212410,1,7,44,18,1154.01,1,14.3
"1789180",212420,1,7,44,28,2357.22,1,15.5
"1789209",212420,1,7,44,19,1487.96,1,21.6
"1789833",212420,1,7,44,42,2866.73,1,11.9
"1790059",212420,1,7,44,27,2739.33,1,11.9
"1790181",212420,1,7,44,18,2475,1,6.9
"1790704",212420,1,7,44,23,2825.7,1,21.7
"1790705",212420,1,7,44,26,2078.8,1,41.7
"1790998",212420,1,7,44,30,3671.82,1,23.9
"1791250",212420,1,7,44,33,3380.68,1,23.9
"1792143",212420,1,7,44,30,3969.32,1,23.9
"1792151",212420,1,7,44,27,3998.99,1,23.9
"1792365",212420,1,7,44,28,2538.54,1,16.9
"1793623",212420,1,7,44,23,1398.94,1,6.1
"1793624",212420,1,7,44,25,1678.56,1,6.1
"1794917",212420,1,7,44,26,1235.81,1,23.2
"1794918",212420,1,7,44,24,1531.76,1,25.6
"1795054",212420,1,7,44,22,1833.33,1,31.6
"1795276",212410,1,7,44,34,5129.05,1,8.9
"1795280",212410,1,7,44,29,5637.55,1,8.9
"1798433",212420,1,7,44,34,3744.85,1,72.9
"1798986",212420,1,7,40,33,3926.58,1,26.9
"1799001",212415,1,7,44,38,4000.54,1,65.9
"1800205",212420,1,7,35,19,1244.31,1,11.6
"1800206",212420,1,7,44,25,1667.76,1,11.8
"1803076",212420,1,7,44,30,1566.55,1,37.9
"1803742",212420,1,7,44,31,1358.32,1,25.8
"1805551",212420,1,7,44,23,3170.49,1,22.2
"1805552",212420,1,7,44,18,1324.96,1,7.7
"1805553",212420,1,7,44,22,3692.51,1,9.9
"1807963",212420,1,7,44,23,1544.25,1,43.5
"1809727",212420,1,7,44,35,4644.65,1,74.5
"1809742",212410,1,7,44,23,3583.97,1,86.3
"1810376",212420,1,7,44,32,3605.53,1,80.1
"1810560",212420,1,7,44,34,1929.92,1,35.2
"1811736",212410,1,7,44,32,2674.15,1,10.9
"1812079",212420,1,7,44,22,1762,1,6.9
"1812578",212410,1,7,43,51,6458,1,391.9
"1812583",212420,1,7,44,23,1265.88,1,25.9
"1812891",212420,1,7,44,29,3130.43,1,21.7
"1812892",212420,1,7,44,26,3044.46,1,5.6
"1812893",212420,1,7,44,30,2651.24,1,26.5
"1813327",212410,1,7,43,25,2585.52,1,41.9
"1813329",212420,1,7,43,20,1950.9,1,17.8
"1813331",212420,1,7,43,24,1763.37,1,0.3
"1813740",212420,1,7,44,24,1950.1,1,46.8
"1813764",212420,1,7,44,21,1535.04,1,26.5
"1815087",212420,1,7,44,30,2604.06,1,20.9
"1816031",212420,1,7,44,30,4089.01,1,93.8
"1817205",212420,1,7,44,38,4597.24,1,106.3
"1817703",212420,1,7,44,22,1928.19,1,0.8
"1817705",212420,1,7,44,26,1856.56,1,23.9
"1817817",212420,1,7,44,21,1579.65,1,9.5
"1817818",212420,1,7,36,26,1819.67,1,30.2
"1818966",212410,1,7,44,37,2708.11,1,52.3
"1819753",212410,1,7,43,32,2260.2,1,2.9
"1820655",212420,1,7,44,49,12399.02,1,360.6
"1820781",212420,1,7,22,31,1802.5,1,106.9
"1820783",212420,1,7,44,20,1508.56,1,17.8
